chr	start	end	strand	manual_assessment	previously_annotated	recount3_score	intropolis_score	repeat_overlap	antisense_overlap	intron_length	prediction_recount3	prediction_intropolis
9	824259	826529	-1	Yes	no	28	0	Type_I_Transposons/SINE	no	2271	REJECTED	REJECTED
16	62749299	62750767	1	Yes	no	28	0	No_overlap	no	1469	ACCEPTED	REJECTED
4	9569612	9628703	-1	Yes	no	28	13	LTRs	no	59092	ACCEPTED	ACCEPTED
15	26252759	26275374	1	Yes	no	28	0	Type_I_Transposons/LINE	no	22616	ACCEPTED	REJECTED
2	3378315	3378361	1	Yes	no	28	15	Type_I_Transposons/SINE	no	47	REJECTED	REJECTED
11	61496499	61499762	1	Yes	no	28	16	No_overlap	no	3264	REJECTED	REJECTED
1	148021288	148021913	1	Yes	no	28	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	626	REJECTED	REJECTED
9	824259	826641	-1	Yes	no	29	0	Type_I_Transposons/SINE	no	2383	REJECTED	REJECTED
16	76228860	76235325	-1	Yes	no	29	0	No_overlap	no	6466	ACCEPTED	REJECTED
8	7325416	7348699	-1	Yes	no	29	0	No_overlap	no	23284	ACCEPTED	REJECTED
1	213729225	213731419	1	Yes	no	29	0	No_overlap	no	2195	ACCEPTED	REJECTED
8	76616452	76680521	-1	Yes	no	29	6	No_overlap	no	64070	ACCEPTED	ACCEPTED
11	5206893	5207410	1	Yes	no	29	6	No_overlap	no	518	ACCEPTED	ACCEPTED
12	121690419	121690738	1	Yes	no	29	0	Type_I_Transposons/SINE	no	320	REJECTED	REJECTED
13	85117103	85117191	-1	Yes	no	29	0	No_overlap	no	89	ACCEPTED	REJECTED
20	11302279	11328989	1	Yes	no	29	0	Type_II_Transposons	no	26711	ACCEPTED	REJECTED
19	13839591	13840287	1	Yes	no	29	0	No_overlap	yes	697	REJECTED	REJECTED
X	51099875	51101410	-1	Yes	no	30	0	No_overlap	no	1536	ACCEPTED	REJECTED
1	223969815	223983055	-1	No	no	30	0	Type_I_Transposons/SINE	no	13241	REJECTED	REJECTED
7	142397746	142463229	-1	Yes	no	30	0	LTRs	no	65484	ACCEPTED	REJECTED
5	133812928	133818161	-1	Yes	no	30	0	No_overlap	no	5234	ACCEPTED	REJECTED
17	59468123	59469294	1	Yes	no	30	0	LTRs	no	1172	ACCEPTED	REJECTED
2	103507241	103507378	1	Yes	no	30	0	LTRs	no	138	ACCEPTED	REJECTED
13	71968900	71969109	-1	Yes	no	30	3	Type_I_Transposons/SINE	no	210	REJECTED	REJECTED
4	38384119	38385376	1	Yes	no	30	0	No_overlap	no	1258	ACCEPTED	REJECTED
14	95715708	95755339	1	No	no	30	0	Type_I_Transposons/SINE	no	39632	REJECTED	REJECTED
9	6668463	6669434	1	Yes	no	30	0	Type_II_Transposons	yes	972	REJECTED	REJECTED
12	125861309	125863903	1	Yes	no	31	0	LTRs	no	2595	ACCEPTED	REJECTED
16	62749299	62750237	1	Yes	no	31	22	No_overlap	no	939	ACCEPTED	ACCEPTED
14	105622222	105648412	1	Yes	no	31	0	Tandem_repeats	yes	26191	REJECTED	REJECTED
2	8383191	8441353	-1	Yes	no	31	5	Type_I_Transposons/LINE,LTRs	no	58163	ACCEPTED	ACCEPTED
9	13972120	13974992	1	Yes	no	31	0	No_overlap	no	2873	ACCEPTED	REJECTED
3	75438968	75446764	-1	Yes	no	31	0	Type_I_Transposons/SINE	no	7797	REJECTED	REJECTED
12	115263466	115270195	1	Yes	no	31	0	Type_I_Transposons/LINE	no	6730	ACCEPTED	REJECTED
14	84971592	84990522	-1	Yes	no	31	0	Type_I_Transposons/SINE	no	18931	REJECTED	REJECTED
5	66508948	66518599	-1	Yes	no	31	0	No_overlap	no	9652	ACCEPTED	REJECTED
9	84409326	84409555	1	Yes	no	31	0	Tandem_repeats,LTRs	no	230	REJECTED	REJECTED
1	23995099	24023666	1	Yes	no	32	0	LTRs	no	28568	ACCEPTED	REJECTED
18	70676549	70732337	1	Yes	no	32	6	No_overlap	no	55789	ACCEPTED	ACCEPTED
4	10118873	10119080	1	Yes	no	32	0	Type_I_Transposons/LINE	no	208	ACCEPTED	REJECTED
18	6462502	6462825	-1	No	no	32	0	No_overlap	no	324	ACCEPTED	REJECTED
5	4805849	4868227	-1	Yes	no	32	0	No_overlap	no	62379	ACCEPTED	REJECTED
3	46394784	46395687	1	Yes	no	32	0	No_overlap	no	904	ACCEPTED	REJECTED
9	39514991	39537450	1	Yes	no	32	0	No_overlap	no	22460	REJECTED	REJECTED
5	172777911	172787755	1	Yes	no	32	0	LTRs	no	9845	ACCEPTED	REJECTED
2	218369624	218369813	1	Yes	no	32	10	Type_I_Transposons/SINE,Tandem_repeats	no	190	REJECTED	REJECTED
6	14367139	14380216	1	Yes	no	32	0	No_overlap	no	13078	ACCEPTED	REJECTED
7	108884585	108900532	-1	Yes	no	33	0	LTRs	no	15948	ACCEPTED	REJECTED
18	30108513	30145395	-1	Yes	no	33	0	Type_I_Transposons/SINE,Tandem_repeats,LTRs	no	36883	REJECTED	REJECTED
5	3181350	3182782	1	Yes	no	33	0	No_overlap	no	1433	ACCEPTED	REJECTED
4	24471754	24475234	1	No	no	33	0	No_overlap	yes	3481	REJECTED	REJECTED
17	15761738	15763585	-1	Yes	no	33	0	Type_I_Transposons/LINE	no	1848	ACCEPTED	REJECTED
9	103103065	103103775	1	Yes	no	33	0	Tandem_repeats,LTRs	no	711	REJECTED	REJECTED
3	113883518	113890008	-1	Yes	no	33	0	Type_I_Transposons/SINE	no	6491	REJECTED	REJECTED
7	142792085	142792521	1	No	no	33	0	No_overlap	no	437	ACCEPTED	REJECTED
19	20351797	20424785	-1	Yes	no	33	3	No_overlap	yes	72989	REJECTED	REJECTED
3	5643763	5662819	-1	Yes	no	33	3	LTRs	no	19057	ACCEPTED	ACCEPTED
19	33144310	33175157	-1	Yes	no	34	0	Type_I_Transposons/SINE	no	30848	REJECTED	REJECTED
4	33322573	33326683	-1	Yes	no	34	0	No_overlap	no	4111	ACCEPTED	REJECTED
20	52452400	52452479	-1	Yes	no	34	0	Type_II_Transposons	yes	80	REJECTED	REJECTED
3	364024	373816	-1	Yes	yes	34	0	Type_I_Transposons/LINE	no	9793	ACCEPTED	REJECTED
5	71783198	71783521	1	Yes	no	34	0	No_overlap	no	324	ACCEPTED	REJECTED
9	99542489	99555981	1	Yes	no	34	0	No_overlap	no	13493	ACCEPTED	REJECTED
15	23304447	23309163	1	Yes	no	34	0	Type_I_Transposons/SINE	no	4717	REJECTED	REJECTED
19	54201252	54207458	-1	Yes	no	34	23	No_overlap	yes	6207	REJECTED	REJECTED
5	125058756	125058982	-1	Yes	no	34	0	No_overlap	no	227	ACCEPTED	REJECTED
3	13650840	13746243	1	Yes	no	34	0	Type_II_Transposons	no	95404	ACCEPTED	REJECTED
2	111477482	111494802	-1	Yes	no	35	0	No_overlap	no	17321	ACCEPTED	REJECTED
8	2639692	2674729	-1	Yes	no	35	6	No_overlap	no	35038	ACCEPTED	ACCEPTED
10	29878493	29878657	1	Yes	no	35	0	No_overlap	no	165	REJECTED	REJECTED
5	8364725	8387526	-1	Yes	no	35	0	Type_I_Transposons/SINE	no	22802	REJECTED	REJECTED
4	27737593	27755134	1	Yes	no	35	0	LTRs	no	17542	ACCEPTED	REJECTED
17	21533737	21535427	-1	Yes	no	35	6	No_overlap	no	1691	ACCEPTED	ACCEPTED
18	40258335	40259225	1	Yes	no	35	0	Unknown	no	891	ACCEPTED	REJECTED
2	123441911	123445762	1	Yes	no	35	0	Type_I_Transposons/LINE	no	3852	ACCEPTED	REJECTED
3	31501340	31503383	-1	Yes	no	35	0	No_overlap	no	2044	ACCEPTED	REJECTED
9	72306510	72308247	-1	Yes	no	35	0	Type_I_Transposons/SINE	no	1738	REJECTED	REJECTED
8	92765944	92813376	1	Yes	no	36	0	Type_I_Transposons/SINE,LTRs	no	47433	REJECTED	REJECTED
2	62296447	62332584	1	Yes	no	36	3	No_overlap	no	36138	ACCEPTED	ACCEPTED
15	99839135	99856544	1	Yes	no	36	6	Type_I_Transposons/LINE	no	17410	ACCEPTED	ACCEPTED
6	111267562	111275656	-1	Yes	no	36	0	Type_I_Transposons/SINE	yes	8095	REJECTED	REJECTED
11	67316673	67317097	-1	Yes	no	36	0	Type_I_Transposons/SINE	no	425	REJECTED	REJECTED
3	16704676	16705997	-1	Yes	no	36	0	Type_I_Transposons/LINE	no	1322	ACCEPTED	REJECTED
9	62874449	62897528	-1	Yes	no	36	0	Type_I_Transposons/SINE	no	23080	REJECTED	REJECTED
19	33953815	33973079	-1	Yes	no	36	0	LTRs	no	19265	ACCEPTED	REJECTED
8	56508283	56520085	-1	Yes	no	36	0	Type_I_Transposons/SINE	no	11803	REJECTED	REJECTED
1	72655033	72783669	1	Yes	no	36	20	Type_I_Transposons/SINE	no	128637	REJECTED	REJECTED
3	107409267	107421022	-1	Yes	no	37	0	Type_I_Transposons/LINE	no	11756	ACCEPTED	REJECTED
1	148163816	148186164	1	Yes	no	37	0	Type_I_Transposons/LINE	no	22349	ACCEPTED	REJECTED
12	114027167	114074242	-1	Yes	no	37	0	LTRs	no	47076	ACCEPTED	REJECTED
21	44195179	44206528	-1	Yes	no	37	6	No_overlap	no	11350	ACCEPTED	ACCEPTED
4	19573413	19574551	1	Yes	no	37	0	No_overlap	no	1139	ACCEPTED	REJECTED
9	2264629	2273875	1	Yes	no	37	0	LTRs	no	9247	ACCEPTED	REJECTED
18	11926929	11928203	-1	Yes	no	37	0	Type_I_Transposons/SINE	no	1275	REJECTED	REJECTED
4	61143816	61145608	-1	Yes	no	37	0	Type_I_Transposons/SINE	no	1793	REJECTED	REJECTED
3	166266411	166283481	1	Yes	no	37	0	No_overlap	no	17071	ACCEPTED	REJECTED
2	191676033	191676909	-1	Yes	no	37	0	No_overlap	no	877	ACCEPTED	REJECTED
7	3101268	3158137	-1	Yes	no	38	2	Type_I_Transposons/LINE	no	56870	ACCEPTED	ACCEPTED
10	61106931	61193971	1	Yes	no	38	6	No_overlap	no	87041	ACCEPTED	ACCEPTED
X	80810576	80810677	1	Yes	yes	38	0	No_overlap	no	102	ACCEPTED	REJECTED
20	44659779	44738819	-1	Yes	no	38	0	Type_I_Transposons/LINE,LTRs	no	79041	ACCEPTED	REJECTED
18	73155936	73255812	-1	Yes	no	38	0	LTRs	no	99877	ACCEPTED	REJECTED
4	189617722	189618654	-1	Yes	no	38	5	No_overlap	no	933	ACCEPTED	ACCEPTED
3	109379315	109382482	1	Yes	no	38	0	LTRs	no	3168	ACCEPTED	REJECTED
19	32042750	32042948	-1	Yes	no	38	0	No_overlap	yes	199	REJECTED	REJECTED
3	39292951	39372669	-1	Yes	no	38	0	Type_I_Transposons/LINE	no	79719	ACCEPTED	REJECTED
22	11864946	11868678	-1	Yes	no	38	0	Type_I_Transposons/LINE	no	3733	ACCEPTED	REJECTED
1	88176189	88177329	-1	Yes	no	39	3	No_overlap	no	1141	ACCEPTED	ACCEPTED
16	35333804	35335772	1	Yes	no	39	0	No_overlap	yes	1969	REJECTED	REJECTED
18	75801574	75812821	-1	Yes	no	39	3	No_overlap	no	11248	ACCEPTED	ACCEPTED
Y	22657007	22658776	1	Yes	no	39	0	No_overlap	no	1770	ACCEPTED	REJECTED
2	202039687	202057286	-1	Yes	no	39	0	Type_II_Transposons	no	17600	ACCEPTED	REJECTED
4	169934067	169934928	-1	Yes	no	39	0	LTRs	no	862	ACCEPTED	REJECTED
3	113161674	113161933	1	Yes	no	39	0	No_overlap	no	260	REJECTED	REJECTED
X	56116580	56204972	1	Yes	no	39	0	Type_I_Transposons/LINE	no	88393	ACCEPTED	REJECTED
11	78142106	78142762	1	Yes	no	39	3	Type_I_Transposons/SINE	no	657	REJECTED	REJECTED
7	121686265	121719470	-1	Yes	no	39	0	Type_II_Transposons	no	33206	ACCEPTED	REJECTED
1	148273109	148280606	-1	Yes	no	40	0	No_overlap	no	7498	ACCEPTED	REJECTED
9	133019825	133020337	-1	No	no	40	0	No_overlap	yes	513	REJECTED	REJECTED
7	96969119	97002310	-1	Yes	no	40	0	No_overlap	no	33192	ACCEPTED	REJECTED
10	132958670	132959256	-1	Yes	no	40	0	No_overlap	no	587	ACCEPTED	REJECTED
3	197456780	197458402	1	Yes	no	40	0	Type_II_Transposons,Tandem_repeats	no	1623	REJECTED	REJECTED
4	38384524	38385376	1	Yes	no	40	3	No_overlap	no	853	ACCEPTED	ACCEPTED
4	37805400	37806676	-1	Yes	no	40	5	Type_I_Transposons/SINE	no	1277	REJECTED	REJECTED
15	74479279	74513818	1	Yes	yes	40	0	LTRs	no	34540	ACCEPTED	REJECTED
18	60637992	60641960	1	Yes	no	40	2	LTRs	no	3969	ACCEPTED	ACCEPTED
1	19512583	19563774	-1	Yes	no	40	0	Type_I_Transposons/SINE	no	51192	REJECTED	REJECTED
5	70188804	70201867	-1	Yes	no	41	0	LTRs	no	13064	ACCEPTED	REJECTED
Y	24291481	24292458	1	Yes	no	41	0	LTRs	no	978	ACCEPTED	REJECTED
13	63837166	63858798	1	Yes	no	41	0	No_overlap	yes	21633	REJECTED	REJECTED
12	131530593	131589772	-1	Yes	no	41	6	LTRs	no	59180	ACCEPTED	ACCEPTED
16	15293175	15298907	-1	Yes	no	41	0	Type_II_Transposons	no	5733	ACCEPTED	REJECTED
14	46448606	46449907	1	Yes	no	41	0	LTRs	no	1302	ACCEPTED	REJECTED
6	6705079	6706409	-1	Yes	no	41	0	No_overlap	no	1331	ACCEPTED	REJECTED
15	95337774	95340154	1	Yes	no	41	0	Type_I_Transposons/SINE	no	2381	REJECTED	REJECTED
2	114421185	114426838	-1	Yes	no	41	0	No_overlap	no	5654	ACCEPTED	REJECTED
8	30351932	30352754	-1	Yes	no	41	0	No_overlap	yes	823	REJECTED	REJECTED
20	1811225	1820898	-1	Yes	no	42	0	Type_I_Transposons/LINE	no	9674	ACCEPTED	REJECTED
9	106664878	106679557	1	Yes	no	42	3	Type_I_Transposons/SINE	no	14680	REJECTED	REJECTED
20	54110515	54182555	1	Yes	no	42	8	No_overlap	no	72041	ACCEPTED	ACCEPTED
19	23957860	23976657	-1	Yes	no	42	0	Satellite_repeats	no	18798	ACCEPTED	REJECTED
15	20280829	20283495	1	Yes	no	42	0	No_overlap	no	2667	ACCEPTED	REJECTED
15	79190746	79191658	-1	Yes	no	42	0	No_overlap	no	913	ACCEPTED	REJECTED
18	48177963	48178555	1	Yes	no	42	7	LTRs	no	593	ACCEPTED	ACCEPTED
14	103329282	103333416	-1	Yes	no	42	0	No_overlap	no	4135	ACCEPTED	REJECTED
18	64873405	64874406	-1	Yes	no	42	0	Type_I_Transposons/LINE,LTRs	no	1002	ACCEPTED	REJECTED
12	113476529	113480182	1	Yes	no	42	0	No_overlap	no	3654	ACCEPTED	REJECTED
2	145330623	145335937	1	Yes	no	43	0	Type_I_Transposons/SINE	no	5315	REJECTED	REJECTED
3	176324969	176395962	1	Yes	no	43	4	LTRs	yes	70994	REJECTED	REJECTED
7	128166949	128167897	1	Yes	no	43	0	No_overlap	no	949	ACCEPTED	REJECTED
7	55877787	55877952	1	Yes	no	43	0	No_overlap	no	166	ACCEPTED	REJECTED
1	223096703	223098307	-1	Yes	no	43	0	LTRs	no	1605	ACCEPTED	REJECTED
5	54701471	54706047	1	Yes	no	43	0	Type_I_Transposons/LINE	no	4577	ACCEPTED	REJECTED
1	234815850	234816049	-1	Yes	no	43	0	Type_II_Transposons	no	200	ACCEPTED	REJECTED
X	65576007	65588940	-1	Yes	no	43	0	No_overlap	yes	12934	REJECTED	REJECTED
19	33322302	33323182	-1	Yes	no	43	0	Type_I_Transposons/SINE,LTRs	no	881	REJECTED	REJECTED
18	6462666	6462737	-1	No	no	43	0	No_overlap	no	72	ACCEPTED	REJECTED
15	37218821	37219063	-1	Yes	no	44	0	No_overlap	no	243	ACCEPTED	REJECTED
1	87803006	87849069	-1	Yes	no	44	0	LTRs	no	46064	ACCEPTED	REJECTED
17	72513959	72516307	-1	Yes	no	44	23	Type_I_Transposons/SINE	no	2349	REJECTED	REJECTED
1	218520922	218525406	1	Yes	no	44	0	Type_I_Transposons/SINE	no	4485	REJECTED	REJECTED
5	139322915	139323768	-1	Yes	no	44	15	Type_I_Transposons/SINE	yes	854	REJECTED	REJECTED
5	173244044	173244331	-1	Yes	no	44	0	No_overlap	no	288	ACCEPTED	REJECTED
1	96679189	96679270	1	No	no	44	0	No_overlap	yes	82	REJECTED	REJECTED
6	113477023	113478604	-1	Yes	no	44	0	LTRs	no	1582	ACCEPTED	REJECTED
9	86128893	86129229	1	Yes	no	44	0	LTRs	no	337	ACCEPTED	REJECTED
15	78539217	78540215	-1	Yes	no	44	0	No_overlap	no	999	ACCEPTED	REJECTED
6	31836522	31837235	1	No	no	45	0	Type_I_Transposons/SINE	no	714	REJECTED	REJECTED
6	135810771	135827625	1	Yes	yes	45	0	No_overlap	no	16855	ACCEPTED	REJECTED
8	74651840	74702365	1	Yes	no	45	5	LTRs	no	50526	ACCEPTED	ACCEPTED
17	42657361	42659090	-1	Yes	no	45	0	Type_I_Transposons/SINE	no	1730	REJECTED	REJECTED
2	87034244	87118534	-1	Yes	no	45	0	No_overlap	no	84291	ACCEPTED	REJECTED
16	2268844	2273146	1	Yes	no	45	0	Type_I_Transposons/SINE	no	4303	REJECTED	REJECTED
2	97284278	97284689	1	Yes	no	45	10	No_overlap	no	412	REJECTED	REJECTED
14	74735300	74736373	-1	Yes	no	45	9	Type_I_Transposons/SINE,LTRs	yes	1074	REJECTED	REJECTED
10	83574997	83588695	1	Yes	no	45	0	Type_II_Transposons	no	13699	ACCEPTED	REJECTED
19	41499382	41507559	1	Yes	no	45	2	No_overlap	no	8178	ACCEPTED	ACCEPTED
3	195642869	195651959	-1	Yes	no	46	0	Type_I_Transposons/LINE	no	9091	ACCEPTED	REJECTED
10	3404669	3441467	1	Yes	no	46	0	LTRs	no	36799	ACCEPTED	REJECTED
12	131234150	131243769	1	Yes	no	46	5	LTRs	no	9620	ACCEPTED	ACCEPTED
4	79329798	79385190	-1	Yes	no	46	0	Type_I_Transposons/SINE	no	55393	REJECTED	REJECTED
8	142738485	142763278	1	Yes	no	46	0	No_overlap	no	24794	ACCEPTED	REJECTED
17	30708576	30759490	1	Yes	no	46	0	No_overlap	no	50915	ACCEPTED	REJECTED
1	120913533	120913709	1	Yes	no	46	0	No_overlap	yes	177	REJECTED	REJECTED
8	29563225	29589989	-1	Yes	no	46	0	No_overlap	no	26765	REJECTED	REJECTED
6	90673562	90702655	1	Yes	no	46	0	LTRs	no	29094	ACCEPTED	REJECTED
1	25233692	25240059	1	Yes	no	46	0	Type_I_Transposons/SINE	no	6368	REJECTED	REJECTED
2	88861935	88915093	-1	No	no	47	0	No_overlap	no	53159	ACCEPTED	REJECTED
11	1683544	1688126	1	Yes	no	47	0	LTRs	yes	4583	REJECTED	REJECTED
2	151180663	151180855	-1	Yes	no	47	0	Type_I_Transposons/SINE	no	193	REJECTED	REJECTED
6	120768524	120770457	1	Yes	no	47	4	No_overlap	no	1934	ACCEPTED	ACCEPTED
3	169948585	169966145	-1	Yes	no	47	0	No_overlap	no	17561	ACCEPTED	REJECTED
22	24263763	24264210	-1	Yes	no	47	0	No_overlap	yes	448	REJECTED	REJECTED
15	91633259	91635907	1	Yes	no	47	0	Type_I_Transposons/LINE	no	2649	ACCEPTED	REJECTED
19	44388050	44388771	1	Yes	no	47	13	No_overlap	yes	722	REJECTED	REJECTED
17	45153945	45160013	-1	Yes	no	47	0	Type_I_Transposons/SINE	no	6069	REJECTED	REJECTED
5	40260854	40266969	1	Yes	no	47	3	LTRs	no	6116	ACCEPTED	ACCEPTED
3	94989439	94989902	1	No	no	48	0	Type_II_Transposons	no	464	ACCEPTED	REJECTED
18	24501346	24516419	1	Yes	no	48	6	No_overlap	no	15074	ACCEPTED	ACCEPTED
8	47191841	47201621	1	Yes	no	48	0	Type_I_Transposons/SINE	no	9781	REJECTED	REJECTED
1	170227059	170239898	1	Yes	yes	48	0	No_overlap	no	12840	ACCEPTED	REJECTED
20	24406466	24406793	1	Yes	no	48	0	No_overlap	no	328	ACCEPTED	REJECTED
7	66547224	66573400	-1	Yes	no	48	0	Type_I_Transposons/SINE	no	26177	REJECTED	REJECTED
15	97515425	97521582	-1	Yes	no	48	0	Type_I_Transposons/SINE	no	6158	REJECTED	REJECTED
13	74979353	75102886	1	Yes	no	48	29	Type_I_Transposons/LINE	no	123534	ACCEPTED	ACCEPTED
3	193984148	194003584	-1	Yes	no	48	0	LTRs	no	19437	ACCEPTED	REJECTED
2	129802464	129832274	-1	Yes	no	48	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	29811	REJECTED	REJECTED
9	91363995	91377406	1	Yes	no	49	0	LTRs	no	13412	ACCEPTED	REJECTED
6	9025438	9025818	1	Yes	no	49	0	LTRs	no	381	ACCEPTED	REJECTED
8	9905363	9905653	-1	Yes	no	49	13	No_overlap	no	291	REJECTED	REJECTED
11	49792060	49808523	1	Yes	no	49	0	No_overlap	no	16464	ACCEPTED	REJECTED
11	119822407	119822514	1	Yes	no	49	0	Type_I_Transposons/LINE	no	108	ACCEPTED	REJECTED
10	2446951	2501809	-1	Yes	no	49	0	Tandem_repeats	no	54859	REJECTED	REJECTED
1	83454880	83470274	1	Yes	no	49	0	Type_I_Transposons/SINE	no	15395	REJECTED	REJECTED
14	55766050	55771467	1	Yes	no	49	0	Type_I_Transposons/LINE	no	5418	ACCEPTED	REJECTED
12	126653088	126661425	-1	Yes	no	49	0	LTRs	no	8338	ACCEPTED	REJECTED
12	43333537	43335770	-1	Yes	no	49	0	No_overlap	no	2234	ACCEPTED	REJECTED
16	1103065	1117705	1	Yes	no	50	0	No_overlap	no	14641	ACCEPTED	REJECTED
18	64151670	64156223	1	Yes	no	50	0	Type_I_Transposons/LINE	no	4554	ACCEPTED	REJECTED
16	5135154	5136165	1	Yes	no	50	0	Type_I_Transposons/SINE,Type_II_Transposons	no	1012	REJECTED	REJECTED
18	12006098	12057313	-1	Yes	no	50	17	No_overlap	no	51216	ACCEPTED	ACCEPTED
15	69841686	69854854	1	Yes	no	50	0	No_overlap	no	13169	ACCEPTED	REJECTED
13	114280886	114282211	-1	Yes	no	50	0	No_overlap	yes	1326	REJECTED	REJECTED
16	88239428	88250139	1	Yes	no	50	0	Type_I_Transposons/LINE	no	10712	ACCEPTED	REJECTED
5	179662779	179664322	1	Yes	no	50	0	Type_I_Transposons/SINE	no	1544	REJECTED	REJECTED
3	129161795	129162505	1	Yes	no	50	0	No_overlap	no	711	ACCEPTED	REJECTED
4	67207655	67208102	-1	Yes	no	50	2	Type_I_Transposons/LINE	no	448	ACCEPTED	ACCEPTED
2	184596377	184598135	-1	No	no	51	11	No_overlap	no	1759	REJECTED	REJECTED
7	152488817	152521707	-1	Yes	no	51	0	Type_I_Transposons/SINE,LTRs	no	32891	REJECTED	REJECTED
3	107331452	107419176	-1	Yes	no	51	12	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	87725	REJECTED	REJECTED
16	48036791	48054777	-1	Yes	no	51	0	No_overlap	no	17987	ACCEPTED	REJECTED
11	22489495	22491351	1	Yes	no	51	2	LTRs	no	1857	ACCEPTED	ACCEPTED
7	33691300	33710828	-1	Yes	no	51	0	Type_I_Transposons/SINE,LTRs	no	19529	REJECTED	REJECTED
16	8252564	8258636	-1	Yes	no	51	0	No_overlap	no	6073	ACCEPTED	REJECTED
13	31043308	31044012	1	Yes	no	51	0	No_overlap	no	705	ACCEPTED	REJECTED
14	105584351	105585526	-1	Yes	no	51	0	No_overlap	no	1176	ACCEPTED	REJECTED
14	105584351	105585378	-1	Yes	no	51	2	No_overlap	no	1028	ACCEPTED	ACCEPTED
7	63348720	63349343	1	Yes	no	52	0	No_overlap	yes	624	REJECTED	REJECTED
11	63962615	63969442	-1	Yes	no	52	0	LTRs	no	6828	ACCEPTED	REJECTED
17	20519921	20520306	-1	Yes	no	52	0	No_overlap	no	386	ACCEPTED	REJECTED
20	49280958	49289044	1	Yes	no	52	0	No_overlap	no	8087	ACCEPTED	REJECTED
15	77513583	77524597	1	Yes	no	52	0	Type_I_Transposons/LINE,LTRs	no	11015	ACCEPTED	REJECTED
15	77933477	77941441	-1	Yes	no	52	0	No_overlap	no	7965	ACCEPTED	REJECTED
18	76186047	76246720	-1	Yes	no	52	18	LTRs	no	60674	ACCEPTED	ACCEPTED
20	48522086	48531049	1	Yes	no	52	0	LTRs	no	8964	ACCEPTED	REJECTED
X	69084296	69084416	-1	Yes	no	52	0	No_overlap	no	121	ACCEPTED	REJECTED
2	151339400	151346588	-1	Yes	no	52	5	Type_I_Transposons/LINE	no	7189	ACCEPTED	ACCEPTED
14	103847744	103877394	1	Yes	no	53	0	No_overlap	no	29651	ACCEPTED	REJECTED
4	165679205	165705058	-1	Yes	no	53	5	No_overlap	no	25854	ACCEPTED	ACCEPTED
1	233844610	233868429	-1	Yes	no	53	13	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	23820	REJECTED	REJECTED
3	64890338	64900939	-1	Yes	no	53	0	No_overlap	no	10602	ACCEPTED	REJECTED
13	98062321	98066960	-1	Yes	no	53	0	LTRs	no	4640	REJECTED	REJECTED
13	105731687	105761262	1	Yes	no	53	34	No_overlap	no	29576	REJECTED	REJECTED
16	59205762	59273844	1	Yes	no	53	8	No_overlap	no	68083	ACCEPTED	ACCEPTED
10	101260966	101293323	-1	Yes	no	53	0	No_overlap	no	32358	ACCEPTED	REJECTED
3	75445989	75511959	1	Yes	no	53	0	Type_I_Transposons/SINE,Type_I_Transposons/LINE	no	65971	REJECTED	REJECTED
2	205868811	205889336	-1	Yes	no	53	0	LTRs	no	20526	ACCEPTED	REJECTED
2	43127398	43129629	1	Yes	no	54	0	No_overlap	no	2232	ACCEPTED	REJECTED
2	145601064	145603088	-1	Yes	yes	54	4	No_overlap	no	2025	ACCEPTED	ACCEPTED
18	1780640	1830874	1	Yes	no	54	3	No_overlap	no	50235	ACCEPTED	ACCEPTED
14	44467170	44480509	-1	Yes	no	54	2	No_overlap	no	13340	ACCEPTED	ACCEPTED
16	173018	173575	-1	No	no	54	0	Tandem_repeats	yes	558	REJECTED	REJECTED
16	35502644	35502981	1	Yes	no	54	0	No_overlap	no	338	ACCEPTED	REJECTED
7	65751279	65760423	1	Yes	no	54	0	No_overlap	no	9145	ACCEPTED	REJECTED
9	86741669	86751588	1	Yes	no	54	0	No_overlap	no	9920	ACCEPTED	REJECTED
21	45576771	45577369	1	Yes	no	54	2	No_overlap	no	599	ACCEPTED	ACCEPTED
2	60374759	60381218	-1	Yes	no	54	2	LTRs	no	6460	ACCEPTED	ACCEPTED
18	55053758	55054633	-1	Yes	no	55	0	No_overlap	no	876	ACCEPTED	REJECTED
5	174611447	174620619	1	Yes	no	55	3	No_overlap	no	9173	ACCEPTED	ACCEPTED
18	76601121	76634881	-1	Yes	no	55	0	Type_I_Transposons/SINE	no	33761	REJECTED	REJECTED
3	113051706	113091323	-1	Yes	no	55	3	No_overlap	no	39618	ACCEPTED	ACCEPTED
7	150980197	150980997	-1	Yes	no	55	0	No_overlap	no	801	ACCEPTED	REJECTED
7	152910853	152910937	1	Yes	no	55	0	No_overlap	no	85	ACCEPTED	REJECTED
15	23372052	23382020	1	Yes	no	55	0	Type_I_Transposons/LINE	no	9969	ACCEPTED	REJECTED
6	147074848	147138983	-1	Yes	no	55	14	No_overlap	no	64136	ACCEPTED	ACCEPTED
Y	9711816	9714122	-1	Yes	yes	55	0	No_overlap	no	2307	ACCEPTED	REJECTED
1	16520962	16521560	1	No	no	55	31	No_overlap	no	599	ACCEPTED	ACCEPTED
11	128263097	128273506	1	Yes	no	56	10	No_overlap	no	10410	ACCEPTED	ACCEPTED
